,0
1755,165-1500
1756,754-5000
1757,449-1605
1758,636-3010
1759,627-1030
1760,441-7011
1761,610-0300
1762,210-0100
1763,939-2390
1764,643-8106
1765,315-1000
1766,665-0010
1767,937-3550
1768,550-4142
1769,937-6040
1770,668-6106
1771,754-4000
1772,670-0700
1773,524-0300
1774,520-3218
1775,170-2000
1776,527-0500
1777,455-1000
1778,682-6540
1779,167-1500
1780,682-9022
1781,935-4502
1782,657-9317
1783,550-3524
1784,660-3015
1785,670-3175
1786,660-1245
1787,441-0600
1788,550-3424
1789,702-1030
1790,456-2025
1791,665-0030
1792,660-2420
1793,939-2237
1794,647-1040
1795,441-0016
1796,520-1147
1797,935-3501
1798,702-0785
1799,621-4021
1800,660-4055
1801,657-9110
1802,670-0803
1803,520-4318
1804,682-6233
1805,702-0165
1806,633-5000
1807,641-5006
1808,611-6700
1809,520-1324
1810,657-9245
1811,610-2383
1812,657-1084
1813,430-0190
1814,937-8520
1815,702-0579
1816,935-3407
1817,668-8013
1818,550-3330
1819,660-0806
1820,165-0050
1821,611-5400
1822,900-0037
1823,643-0204
1824,550-4118
1825,301-4171
1826,999-9001
1827,657-5535
1828,702-0719
1829,951-2435
1830,935-8000
1831,169-0015
1832,657-9607
1833,163-1930
1834,702-0901
1835,611-8000
1836,573-1006
1837,402-3102
1838,702-0803
1839,702-0922
1840,610-0306
1841,660-0810
1842,611-4990
1843,500-3104
1844,663-0100
1845,999-7510
1846,550-3430
1847,610-1075
1848,653-2602
1849,643-1132
1850,670-3171
1851,660-2320
1852,165-0107
1853,610-9006
1854,610-2845
1855,702-0908
1856,670-9730
1857,515-2020
1858,610-2355
1859,682-8100
1860,621-6003
1861,711-0200
1862,682-3485
1863,682-6223
1864,550-3418
1865,441-4130
1866,527-0550
1867,520-1320
1868,610-6545
1869,670-5020
1870,171-0010
1871,610-9000
1872,670-3129
